Order_Line,Order_ID,Bar_code_value,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Product_ID,Sales,Quantity,Discount,Profit,Customer_Name,Segment,Age,Country,City,State,Postal_Code,Region,Order_Year,Order_Month,Order_Month_Name
7962,OF-2023-102155,30629795,2025-01-03,2025-01-07,Standard Class,RR-19525,OFF-ST-10001496,360.38,2,0.0,93.6988,Rick Reed,Corporate,51,United States,Lowell,Massachusetts,1852.0,East,2025,1,Jan
7963,OF-2023-102155,61937279,2025-01-03,2025-01-07,Standard Class,RR-19525,OFF-PA-10003673,13.56,2,0.0,6.2376,Rick Reed,Corporate,51,United States,Lowell,Massachusetts,1852.0,East,2025,1,Jan
7964,OF-2023-121048,89708580,2025-01-04,2025-01-08,Standard Class,TC-21295,OFF-BI-10004022,4.448,2,0.2,1.4456,Toby Carlisle,Consumer,31,United States,San Diego,California,92024.0,West,2025,1,Jan
7965,OF-2023-121048,49069757,2025-01-04,2025-01-08,Standard Class,TC-21295,FUR-FU-10003601,276.69,3,0.0,49.8042,Toby Carlisle,Consumer,31,United States,San Diego,California,92024.0,West,2025,1,Jan
7966,OF-2023-121048,28294983,2025-01-04,2025-01-08,Standard Class,TC-21295,OFF-FA-10000490,4.96,4,0.0,2.3312,Toby Carlisle,Consumer,31,United States,San Diego,California,92024.0,West,2025,1,Jan
7967,OF-2023-121048,7816539,2025-01-04,2025-01-08,Standard Class,TC-21295,OFF-AR-10004042,71.92,4,0.0,20.8568,Toby Carlisle,Consumer,31,United States,San Diego,California,92024.0,West,2025,1,Jan
7968,OF-2023-121048,54652978,2025-01-04,2025-01-08,Standard Class,TC-21295,FUR-FU-10002960,18.84,3,0.0,7.9128,Toby Carlisle,Consumer,31,United States,San Diego,California,92024.0,West,2025,1,Jan
7969,OF-2023-121048,55773764,2025-01-04,2025-01-08,Standard Class,TC-21295,TEC-AC-10000991,140.97,3,0.0,19.7358,Toby Carlisle,Consumer,31,United States,San Diego,California,92024.0,West,2025,1,Jan
7970,OF-2023-121048,74797963,2025-01-04,2025-01-08,Standard Class,TC-21295,TEC-PH-10004977,470.376,3,0.2,52.9173,Toby Carlisle,Consumer,31,United States,San Diego,California,92024.0,West,2025,1,Jan
7971,ON-2023-161935,49150949,2025-01-04,2025-01-08,Standard Class,JL-15835,OFF-PA-10000605,9.248,2,0.2,3.3524,John Lee,Consumer,57,United States,Mission Viejo,California,92691.0,West,2025,1,Jan
7972,ON-2023-161935,80417948,2025-01-04,2025-01-08,Standard Class,JL-15835,TEC-PH-10000560,1889.946,9,0.4,-377.9892,John Lee,Consumer,57,United States,Mission Viejo,California,92691.0,West,2025,1,Jan
7973,ON-2023-161935,58643214,2025-01-04,2025-01-08,Standard Class,JL-15835,OFF-ST-10003455,62.04,5,0.2,4.653,John Lee,Consumer,57,United States,Mission Viejo,California,92691.0,West,2025,1,Jan
7974,ON-2023-161935,55005571,2025-01-04,2025-01-08,Standard Class,JL-15835,FUR-FU-10002937,396.92,5,0.2,148.845,John Lee,Consumer,57,United States,Mission Viejo,California,92691.0,West,2025,1,Jan
7975,ON-2023-161935,51441822,2025-01-04,2025-01-08,Standard Class,JL-15835,OFF-ST-10001837,239.456,7,0.2,17.9592,John Lee,Consumer,57,United States,Mission Viejo,California,92691.0,West,2025,1,Jan
7976,ON-2023-161935,47365060,2025-01-04,2025-01-08,Standard Class,JL-15835,OFF-AR-10004757,13.12,5,0.2,2.132,John Lee,Consumer,57,United States,Mission Viejo,California,92691.0,West,2025,1,Jan
7977,OF-2023-166142,52104646,2025-01-05,2025-01-09,Standard Class,MM-17260,OFF-BI-10004094,26.55,3,0.0,13.0095,Magdelene Morse,Consumer,49,United States,Wilmington,Delaware,19805.0,East,2025,1,Jan
7978,OF-2023-166142,23670230,2025-01-05,2025-01-09,Standard Class,MM-17260,FUR-TA-10004607,310.443,3,0.3,-48.7839,Magdelene Morse,Consumer,49,United States,Wilmington,Delaware,19805.0,East,2025,1,Jan
7979,OF-2023-164378,74758539,2025-01-05,2025-01-08,Second Class,MM-18055,OFF-AR-10001177,6.56,2,0.0,1.9024,Michelle Moray,Consumer,19,United States,Seattle,Washington,98115.0,West,2025,1,Jan
7980,OF-2023-164378,98768977,2025-01-05,2025-01-08,Second Class,MM-18055,OFF-LA-10000634,7.83,3,0.0,3.6018,Michelle Moray,Consumer,19,United States,Seattle,Washington,98115.0,West,2025,1,Jan
7981,OF-2023-164378,23672360,2025-01-05,2025-01-08,Second Class,MM-18055,TEC-AC-10004708,41.9,2,0.0,8.799,Michelle Moray,Consumer,19,United States,Seattle,Washington,98115.0,West,2025,1,Jan
7982,OF-2023-164378,75236465,2025-01-05,2025-01-08,Second Class,MM-18055,FUR-CH-10002084,664.146,6,0.1,88.5528,Michelle Moray,Consumer,19,United States,Seattle,Washington,98115.0,West,2025,1,Jan
7983,OF-2023-164378,31120453,2025-01-05,2025-01-08,Second Class,MM-18055,OFF-PA-10004519,8.96,2,0.0,4.3904,Michelle Moray,Consumer,19,United States,Seattle,Washington,98115.0,West,2025,1,Jan
7984,ON-2023-128951,96168795,2025-01-05,2025-01-07,First Class,RS-19420,OFF-AP-10002191,179.94,3,0.0,50.3832,Ricardo Sperren,Corporate,44,United States,Seattle,Washington,98115.0,West,2025,1,Jan
7985,ON-2023-128951,43503608,2025-01-05,2025-01-07,First Class,RS-19420,FUR-TA-10004575,872.94,3,0.0,157.1292,Ricardo Sperren,Corporate,44,United States,Seattle,Washington,98115.0,West,2025,1,Jan
7986,ON-2023-128951,31259437,2025-01-05,2025-01-07,First Class,RS-19420,OFF-PA-10003177,12.96,2,0.0,6.2208,Ricardo Sperren,Corporate,44,United States,Seattle,Washington,98115.0,West,2025,1,Jan
7987,ON-2023-156909,83785119,2025-01-06,2025-01-08,Second Class,SF-20065,FUR-CH-10002774,71.372,2,0.3,-1.0196,Sandra Flanagan,Consumer,41,United States,Philadelphia,Pennsylvania,19140.0,East,2025,1,Jan
7988,OF-2023-109778,99100409,2025-01-06,2025-01-11,Standard Class,VM-21685,OFF-AR-10003759,2.912,2,0.2,0.91,Valerie Mitchum,Home Office,69,United States,Westfield,New Jersey,7090.0,East,2025,1,Jan
7989,ON-2023-152842,65552718,2025-01-06,2025-01-13,Standard Class,NF-18385,FUR-CH-10004218,242.352,3,0.2,15.147,Natalie Fritzler,Consumer,23,United States,Jackson,Mississippi,39212.0,South,2025,1,Jan
7990,ON-2023-152842,10348497,2025-01-06,2025-01-13,Standard Class,NF-18385,TEC-PH-10001944,875.7,6,0.0,262.71,Natalie Fritzler,Consumer,23,United States,Jackson,Mississippi,39212.0,South,2025,1,Jan
7991,OF-2023-139948,64371011,2025-01-07,2025-01-12,Standard Class,SW-20455,FUR-FU-10002597,7.904,2,0.2,2.1736,Shaun Weien,Consumer,21,United States,Suffolk,Virginia,23434.0,South,2025,1,Jan
7992,ON-2023-105046,86911516,2025-01-07,2025-01-13,Standard Class,BE-11335,TEC-PH-10004536,269.98,2,0.0,67.495,Bill Eplett,Home Office,20,United States,Jackson,Michigan,49201.0,Central,2025,1,Jan
7993,ON-2023-105046,9374126,2025-01-07,2025-01-13,Standard Class,BE-11335,OFF-PA-10004353,99.9,5,0.0,47.952,Bill Eplett,Home Office,20,United States,Jackson,Michigan,49201.0,Central,2025,1,Jan
7994,ON-2023-105046,26805666,2025-01-07,2025-01-13,Standard Class,BE-11335,FUR-FU-10004848,39.08,4,0.0,14.4596,Bill Eplett,Home Office,20,United States,Jackson,Michigan,49201.0,Central,2025,1,Jan
7995,OF-2023-126662,84129944,2025-01-07,2025-01-11,Standard Class,AB-10255,TEC-CO-10004202,479.984,2,0.2,89.997,Alejandro Ballentine,Home Office,34,United States,Lorain,Ohio,44052.0,East,2025,1,Jan
7996,OF-2023-142342,55880824,2025-01-07,2025-01-09,Second Class,AJ-10795,OFF-PA-10004609,32.4,5,0.0,15.552,Anthony Johnson,Corporate,27,United States,Saint Petersburg,Florida,33710.0,South,2025,1,Jan
7997,OF-2023-142342,10580560,2025-01-07,2025-01-09,Second Class,AJ-10795,OFF-EN-10002592,57.9,5,0.0,28.95,Anthony Johnson,Corporate,27,United States,Saint Petersburg,Florida,33710.0,South,2025,1,Jan
7998,OF-2023-142342,77009239,2025-01-07,2025-01-09,Second Class,AJ-10795,OFF-ST-10002957,10.56,2,0.0,0.0,Anthony Johnson,Corporate,27,United States,Saint Petersburg,Florida,33710.0,South,2025,1,Jan
7999,OF-2023-142342,57087146,2025-01-07,2025-01-09,Second Class,AJ-10795,FUR-BO-10002613,1194.165,5,0.15,210.735,Anthony Johnson,Corporate,27,United States,Saint Petersburg,Florida,33710.0,South,2025,1,Jan
8000,ON-2023-142573,34561646,2025-01-08,2025-01-13,Standard Class,ML-17410,FUR-TA-10001932,801.6,5,0.5,-448.896,Maris LaWare,Consumer,30,United States,Fairfield,Connecticut,6824.0,East,2025,1,Jan
8001,ON-2023-142573,15092199,2025-01-08,2025-01-13,Standard Class,ML-17410,FUR-CH-10004218,161.568,2,0.2,10.098,Maris LaWare,Consumer,30,United States,Fairfield,Connecticut,6824.0,East,2025,1,Jan
8002,ON-2023-142573,65049841,2025-01-08,2025-01-13,Standard Class,ML-17410,OFF-PA-10000246,16.096,2,0.2,5.2312,Maris LaWare,Consumer,30,United States,Fairfield,Connecticut,6824.0,East,2025,1,Jan
8003,ON-2023-142573,9776093,2025-01-08,2025-01-13,Standard Class,ML-17410,OFF-BI-10003350,7.656,4,0.7,-6.1248,Maris LaWare,Consumer,30,United States,Fairfield,Connecticut,6824.0,East,2025,1,Jan
8004,ON-2023-142573,253758,2025-01-08,2025-01-13,Standard Class,ML-17410,FUR-CH-10000513,311.976,3,0.2,-42.8967,Maris LaWare,Consumer,30,United States,Fairfield,Connecticut,6824.0,East,2025,1,Jan
8005,ON-2023-165358,21809145,2025-01-08,2025-01-13,Standard Class,SV-20365,TEC-CO-10001943,599.97,5,0.4,69.9965,Seth Vernon,Consumer,22,United States,Dover,Delaware,19901.0,East,2025,1,Jan
8006,ON-2023-165358,91849151,2025-01-08,2025-01-13,Standard Class,SV-20365,FUR-CH-10002647,198.744,4,0.3,-14.196,Seth Vernon,Consumer,22,United States,Dover,Delaware,19901.0,East,2025,1,Jan
8007,ON-2023-165358,8708876,2025-01-08,2025-01-13,Standard Class,SV-20365,OFF-SU-10004768,9.184,2,0.2,1.148,Seth Vernon,Consumer,22,United States,Dover,Delaware,19901.0,East,2025,1,Jan
8008,OF-2023-118640,8612419,2025-01-10,2025-01-16,Standard Class,CS-11950,OFF-ST-10002974,69.712,2,0.2,8.714,Carlos Soltero,Consumer,18,United States,Chicago,Illinois,60610.0,Central,2025,1,Jan
8009,OF-2023-118640,63728217,2025-01-10,2025-01-16,Standard Class,CS-11950,FUR-FU-10001475,8.792,1,0.6,-5.7148,Carlos Soltero,Consumer,18,United States,Chicago,Illinois,60610.0,Central,2025,1,Jan
8010,OF-2023-122035,44554594,2025-01-10,2025-01-15,Standard Class,EM-13825,OFF-LA-10004093,14.62,2,0.0,6.8714,Elizabeth Moffitt,Corporate,63,United States,Sioux Falls,South Dakota,57103.0,Central,2025,1,Jan
8011,OF-2023-122035,71557472,2025-01-10,2025-01-15,Standard Class,EM-13825,OFF-AP-10002118,416.32,2,0.0,112.4064,Elizabeth Moffitt,Corporate,63,United States,Sioux Falls,South Dakota,57103.0,Central,2025,1,Jan
8012,OF-2023-122035,21481551,2025-01-10,2025-01-15,Standard Class,EM-13825,OFF-BI-10000404,43.0,5,0.0,20.21,Elizabeth Moffitt,Corporate,63,United States,Sioux Falls,South Dakota,57103.0,Central,2025,1,Jan
8013,OF-2023-122035,59461593,2025-01-10,2025-01-15,Standard Class,EM-13825,FUR-CH-10003833,182.94,3,0.0,27.441,Elizabeth Moffitt,Corporate,63,United States,Sioux Falls,South Dakota,57103.0,Central,2025,1,Jan
8014,OF-2023-122035,73975349,2025-01-10,2025-01-15,Standard Class,EM-13825,OFF-BI-10002072,60.83,7,0.0,30.415,Elizabeth Moffitt,Corporate,63,United States,Sioux Falls,South Dakota,57103.0,Central,2025,1,Jan
8015,OF-2023-122035,77856875,2025-01-10,2025-01-15,Standard Class,EM-13825,TEC-AC-10003095,389.97,3,0.0,132.5898,Elizabeth Moffitt,Corporate,63,United States,Sioux Falls,South Dakota,57103.0,Central,2025,1,Jan
8016,OF-2023-150497,87378205,2025-01-10,2025-01-14,Standard Class,SM-20950,OFF-BI-10004600,735.98,2,0.0,331.191,Suzanne McNair,Corporate,54,United States,Greenville,North Carolina,27834.0,South,2025,1,Jan
8017,ON-2023-108343,3460092,2025-01-10,2025-01-15,Standard Class,AR-10825,OFF-PA-10000743,13.36,2,0.0,6.4128,Anthony Rawles,Corporate,39,United States,Vancouver,Washington,98661.0,West,2025,1,Jan
8018,ON-2023-108343,69738262,2025-01-10,2025-01-15,Standard Class,AR-10825,FUR-CH-10002780,163.764,2,0.1,25.4744,Anthony Rawles,Corporate,39,United States,Vancouver,Washington,98661.0,West,2025,1,Jan
8019,ON-2023-108343,52397557,2025-01-10,2025-01-15,Standard Class,AR-10825,FUR-FU-10000747,183.92,4,0.0,31.2664,Anthony Rawles,Corporate,39,United States,Vancouver,Washington,98661.0,West,2025,1,Jan
8020,ON-2023-127719,54192744,2025-01-11,2025-01-15,Standard Class,TW-21025,OFF-PA-10001934,6.48,1,0.0,3.1752,Tamara Willingham,Home Office,61,United States,Scottsdale,Arizona,85254.0,West,2025,1,Jan
8021,ON-2023-158505,20882126,2025-01-11,2025-01-11,Same Day,SF-20200,TEC-PH-10004071,71.928,9,0.2,6.2937,Sarah Foster,Consumer,38,United States,Marysville,Washington,98270.0,West,2025,1,Jan
8022,ON-2023-158505,1142396,2025-01-11,2025-01-11,Same Day,SF-20200,OFF-AR-10001044,25.99,1,0.0,7.5371,Sarah Foster,Consumer,38,United States,Marysville,Washington,98270.0,West,2025,1,Jan
8023,ON-2023-160465,44558981,2025-01-11,2025-01-16,Standard Class,SW-20350,OFF-BI-10001670,33.93,3,0.7,-22.62,Sean Wendt,Home Office,51,United States,Detroit,Michigan,48227.0,Central,2025,1,Jan
8024,ON-2023-160465,85541159,2025-01-11,2025-01-16,Standard Class,SW-20350,OFF-ST-10000136,222.32,7,0.2,25.011,Sean Wendt,Home Office,51,United States,Detroit,Michigan,48227.0,Central,2025,1,Jan
8025,ON-2023-160465,90313851,2025-01-11,2025-01-16,Standard Class,SW-20350,TEC-PH-10004522,210.564,6,0.4,-52.641,Sean Wendt,Home Office,51,United States,Detroit,Michigan,48227.0,Central,2025,1,Jan
8026,OF-2023-104731,90036663,2025-01-11,2025-01-17,Standard Class,AM-10705,OFF-AR-10003727,101.94,6,0.0,29.5626,Anne McFarland,Consumer,28,United States,Auburn,Alabama,36830.0,South,2025,1,Jan
8027,OF-2023-104731,86432925,2025-01-11,2025-01-17,Standard Class,AM-10705,TEC-PH-10002660,271.96,4,0.0,67.99,Anne McFarland,Consumer,28,United States,Auburn,Alabama,36830.0,South,2025,1,Jan
8028,OF-2023-104731,26859013,2025-01-11,2025-01-17,Standard Class,AM-10705,FUR-FU-10003274,8.8,5,0.0,3.872,Anne McFarland,Consumer,28,United States,Auburn,Alabama,36830.0,South,2025,1,Jan
8029,OF-2023-104731,55857412,2025-01-11,2025-01-17,Standard Class,AM-10705,OFF-AR-10003829,19.68,6,0.0,5.7072,Anne McFarland,Consumer,28,United States,Auburn,Alabama,36830.0,South,2025,1,Jan
8030,OF-2023-104731,16673340,2025-01-11,2025-01-17,Standard Class,AM-10705,FUR-BO-10003441,302.94,3,0.0,69.6762,Anne McFarland,Consumer,28,United States,Auburn,Alabama,36830.0,South,2025,1,Jan
8031,OF-2023-104731,23008212,2025-01-11,2025-01-17,Standard Class,AM-10705,OFF-BI-10003355,14.94,3,0.0,7.1712,Anne McFarland,Consumer,28,United States,Auburn,Alabama,36830.0,South,2025,1,Jan
8032,OF-2023-104731,63538558,2025-01-11,2025-01-17,Standard Class,AM-10705,OFF-SU-10003505,231.72,2,0.0,11.586,Anne McFarland,Consumer,28,United States,Auburn,Alabama,36830.0,South,2025,1,Jan
8033,OF-2023-145429,19269731,2025-01-11,2025-01-15,Standard Class,SW-20455,OFF-PA-10003205,16.34,2,0.0,7.6798,Shaun Weien,Consumer,21,United States,Suffolk,Virginia,23434.0,South,2025,1,Jan
8034,OF-2023-145429,21631662,2025-01-11,2025-01-15,Standard Class,SW-20455,FUR-CH-10000988,225.296,2,0.2,22.5296,Shaun Weien,Consumer,21,United States,Suffolk,Virginia,23434.0,South,2025,1,Jan
8035,OF-2023-145429,29044304,2025-01-11,2025-01-15,Standard Class,SW-20455,OFF-BI-10001524,50.352,3,0.2,17.6232,Shaun Weien,Consumer,21,United States,Suffolk,Virginia,23434.0,South,2025,1,Jan
8036,ON-2023-123204,75259193,2025-01-11,2025-01-17,Standard Class,CS-11860,OFF-AP-10002287,17.48,4,0.0,4.5448,Cari Schnelling,Consumer,69,United States,Jacksonville,North Carolina,28540.0,South,2025,1,Jan
8037,OF-2023-118724,92659598,2025-01-11,2025-01-15,Second Class,AR-10825,OFF-AR-10003469,3.52,2,0.0,1.6896,Anthony Rawles,Corporate,39,United States,Vancouver,Washington,98661.0,West,2025,1,Jan
8038,OF-2023-118724,57726164,2025-01-11,2025-01-15,Second Class,AR-10825,TEC-PH-10002549,1626.192,9,0.2,121.9644,Anthony Rawles,Corporate,39,United States,Vancouver,Washington,98661.0,West,2025,1,Jan
8039,ON-2023-123834,13744790,2025-01-11,2025-01-15,Standard Class,GM-14500,FUR-TA-10001676,124.404,4,0.3,-21.3264,Gene McClure,Consumer,41,United States,Providence,Rhode Island,2908.0,East,2025,1,Jan
8040,OF-2023-103478,16354003,2025-01-11,2025-01-14,Second Class,KL-16555,OFF-BI-10001890,2.864,4,0.8,-4.5824,Kelly Lampkin,Corporate,60,United States,Colorado Springs,Colorado,80906.0,West,2025,1,Jan
8041,OF-2023-103478,31726696,2025-01-11,2025-01-14,Second Class,KL-16555,OFF-BI-10004224,94.192,7,0.8,-164.836,Kelly Lampkin,Corporate,60,United States,Colorado Springs,Colorado,80906.0,West,2025,1,Jan
8042,OF-2023-145093,7488430,2025-01-11,2025-01-16,Standard Class,PT-19090,OFF-BI-10001116,2.112,2,0.8,-3.3792,Pete Takahito,Consumer,48,United States,Houston,Texas,77070.0,Central,2025,1,Jan
8043,OF-2023-109750,6986752,2025-01-12,2025-01-18,Standard Class,FH-14365,TEC-PH-10000702,29.97,3,0.0,14.0859,Fred Hopkins,Corporate,49,United States,Philadelphia,Pennsylvania,19120.0,East,2025,1,Jan
8044,ON-2023-106551,46805360,2025-01-12,2025-01-17,Standard Class,EB-13930,FUR-CH-10004997,526.344,4,0.3,-75.192,Eric Barreto,Consumer,63,United States,San Francisco,California,94110.0,West,2025,1,Jan
8045,OF-2023-117240,77698842,2025-01-13,2025-01-18,Standard Class,CP-12340,OFF-BI-10000848,13.128,3,0.2,4.2666,Christine Phan,Corporate,38,United States,New York City,New York,10009.0,East,2025,1,Jan
8046,ON-2023-169320,12137684,2025-01-13,2025-01-15,Second Class,LH-16900,OFF-AR-10003602,11.68,2,0.0,5.4896,Lena Hernandez,Consumer,66,United States,Dover,Delaware,19901.0,East,2025,1,Jan
8047,ON-2023-169320,11908822,2025-01-13,2025-01-15,Second Class,LH-16900,TEC-AC-10002550,159.75,5,0.0,11.1825,Lena Hernandez,Consumer,66,United States,Dover,Delaware,19901.0,East,2025,1,Jan
8048,OF-2023-103506,25016717,2025-01-13,2025-01-17,Standard Class,LR-17035,OFF-LA-10001158,41.4,4,0.0,19.872,Lisa Ryan,Corporate,62,United States,Philadelphia,Pennsylvania,19134.0,East,2025,1,Jan
8049,OF-2023-125367,25805414,2025-01-13,2025-01-20,Standard Class,NM-18445,OFF-BI-10002412,13.92,3,0.2,4.35,Nathan Mautz,Home Office,21,United States,New York City,New York,10024.0,East,2025,1,Jan
8050,ON-2023-101721,75399939,2025-01-13,2025-01-17,Standard Class,MY-17380,OFF-PA-10003641,63.312,3,0.2,20.5764,Maribeth Yedwab,Corporate,70,United States,Parker,Colorado,80134.0,West,2025,1,Jan
8051,OF-2023-118346,96748266,2025-01-13,2025-01-14,First Class,PO-19180,TEC-AC-10000736,399.95,5,0.0,143.982,Philisse Overcash,Home Office,46,United States,Chicago,Illinois,60623.0,Central,2025,1,Jan
8052,OF-2023-133718,70061191,2025-01-13,2025-01-16,First Class,TB-21520,OFF-BI-10003429,15.192,3,0.2,5.5071,Tracy Blumstein,Consumer,48,United States,Philadelphia,Pennsylvania,19140.0,East,2025,1,Jan
8053,OF-2023-133718,66886810,2025-01-13,2025-01-16,First Class,TB-21520,OFF-PA-10002689,58.32,9,0.0,27.9936,Tracy Blumstein,Consumer,48,United States,Philadelphia,Pennsylvania,19140.0,East,2025,1,Jan
8054,OF-2023-110940,39276097,2025-01-13,2025-01-18,Standard Class,AZ-10750,OFF-AR-10000380,121.536,4,0.2,15.192,Annie Zypern,Consumer,59,United States,New York City,New York,10009.0,East,2025,1,Jan
8055,ON-2023-135013,86600371,2025-01-14,2025-01-14,Same Day,HR-14830,TEC-CO-10001449,2399.96,5,0.2,839.986,Harold Ryan,Corporate,69,United States,Seattle,Washington,98103.0,West,2025,1,Jan
8056,OF-2023-169810,5241599,2025-01-15,2025-01-21,Standard Class,RB-19360,OFF-LA-10003663,20.23,7,0.0,9.5081,Raymond Buch,Consumer,70,United States,Auburn,New York,13021.0,East,2025,1,Jan
8057,OF-2023-125640,55893725,2025-01-15,2025-01-19,Standard Class,DD-13570,OFF-LA-10004178,3.304,1,0.2,1.0738,Dorothy Dickinson,Consumer,32,United States,Houston,Texas,77041.0,Central,2025,1,Jan
8058,OF-2023-121293,54382103,2025-01-15,2025-01-18,Second Class,JC-15775,FUR-FU-10000732,20.096,4,0.2,3.0144,John Castell,Consumer,22,United States,San Antonio,Texas,78207.0,Central,2025,1,Jan
8059,OF-2023-121293,74210161,2025-01-15,2025-01-18,Second Class,JC-15775,OFF-SU-10004884,37.752,3,0.2,4.2471,John Castell,Consumer,22,United States,San Antonio,Texas,78207.0,Central,2025,1,Jan
8060,OF-2023-121293,6507035,2025-01-15,2025-01-18,Second Class,JC-15775,FUR-TA-10001771,138.588,1,0.4,-34.647,John Castell,Consumer,22,United States,San Antonio,Texas,78207.0,Central,2025,1,Jan
8061,OF-2023-121293,55603822,2025-01-15,2025-01-18,Second Class,JC-15775,OFF-ST-10000060,259.92,5,0.2,-25.992,John Castell,Consumer,22,United States,San Antonio,Texas,78207.0,Central,2025,1,Jan
8062,OF-2023-121293,56578935,2025-01-15,2025-01-18,Second Class,JC-15775,OFF-PA-10004100,20.736,4,0.2,7.2576,John Castell,Consumer,22,United States,San Antonio,Texas,78207.0,Central,2025,1,Jan
8063,OF-2023-167549,38891689,2025-01-15,2025-01-17,First Class,EM-14200,FUR-TA-10004767,298.116,6,0.3,-4.2588,Evan Minnotte,Home Office,52,United States,Virginia Beach,Virginia,23464.0,South,2025,1,Jan
8064,ON-2023-167318,5549493,2025-01-16,2025-01-22,Standard Class,GZ-14545,TEC-AC-10003870,1649.95,5,0.0,659.98,George Zrebassa,Corporate,56,United States,Lawrence,Massachusetts,1841.0,East,2025,1,Jan
8065,ON-2023-167318,84497864,2025-01-16,2025-01-22,Standard Class,GZ-14545,FUR-CH-10000665,362.352,3,0.2,45.294,George Zrebassa,Corporate,56,United States,Lawrence,Massachusetts,1841.0,East,2025,1,Jan
8066,OF-2023-123239,33043787,2025-01-17,2025-01-21,Second Class,MG-18145,FUR-FU-10001602,91.032,3,0.2,-2.2758,Mike Gockenbach,Consumer,51,United States,Philadelphia,Pennsylvania,19134.0,East,2025,1,Jan
8067,OF-2023-108791,10154897,2025-01-17,2025-01-21,Standard Class,TM-21490,FUR-FU-10004018,14.89,1,0.0,4.0203,Tony Molinari,Consumer,63,United States,Oklahoma City,Oklahoma,73120.0,Central,2025,1,Jan
8068,OF-2023-108791,89641663,2025-01-17,2025-01-21,Standard Class,TM-21490,TEC-PH-10002660,543.92,8,0.0,135.98,Tony Molinari,Consumer,63,United States,Oklahoma City,Oklahoma,73120.0,Central,2025,1,Jan
8069,OF-2023-133046,28622561,2025-01-17,2025-01-22,Second Class,DK-13375,FUR-FU-10001940,23.88,3,0.0,10.5072,Dennis Kane,Consumer,56,United States,Marion,Ohio,43302.0,East,2025,1,Jan
8070,OF-2023-133046,64183611,2025-01-17,2025-01-22,Second Class,DK-13375,OFF-PA-10003883,26.2,4,0.0,12.052,Dennis Kane,Consumer,56,United States,Marion,Ohio,43302.0,East,2025,1,Jan
8071,OF-2023-133046,9364686,2025-01-17,2025-01-22,Second Class,DK-13375,OFF-PA-10002787,12.96,2,0.0,6.2208,Dennis Kane,Consumer,56,United States,Marion,Ohio,43302.0,East,2025,1,Jan
8072,OF-2023-133046,13786562,2025-01-17,2025-01-22,Second Class,DK-13375,TEC-AC-10000991,234.95,5,0.0,32.893,Dennis Kane,Consumer,56,United States,Marion,Ohio,43302.0,East,2025,1,Jan
8073,OF-2023-107209,47746399,2025-01-17,2025-01-22,Second Class,JW-15955,FUR-CH-10001146,194.848,4,0.2,12.178,Joni Wasserman,Consumer,45,United States,Oakland,California,94601.0,West,2025,1,Jan
